"table_schema,""table_name"",""count_rows"""
"purchasing,""productvendor"",0"
"purchasing,""purchaseorderdetail"",0"
"purchasing,""purchaseorderheader"",0"
"purchasing,""shipmethod"",0"
"purchasing,""vendor"",0"
"sales,""customer"",0"
"sales,""personcreditcard"",0"
"sales,""salesorderheader"",0"
"sales,""salesorderdetail"",0"
"sales,""salesperson"",0"
"sales,""salesorderheadersalesreason"",0"
"sales,""salespersonquotahistory"",0"
"sales,""salesterritory"",0"
"sales,""store"",0"
"sales,""specialofferproduct"",0"
"sales,""salesreason"",0"
"sales,""salestaxrate"",0"
"sales,""salesterritoryhistory"",0"
"sales,""shoppingcartitem"",0"
"sales,""specialoffer"",0"
